code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sz300374,2015-03-19,15.85,19.02,15.85,19.02,0.439818,28300.0,534306.0,462946800.0,1851406800.0,0.00116269515201,19.02,,,,,,
sz300374,2015-03-20,20.92,20.92,20.92,20.92,0.099895,4500.0,94140.0,509192800.0,2036352800.0,0.00018488085456,20.9200029,,,,,,
sz300374,2015-03-23,23.01,23.01,23.01,23.01,0.099904,7500.0,172575.0,560063400.0,2239793400.0,0.000308134757601,23.0099948697,,,,,,
sz300374,2015-03-24,25.31,25.31,25.31,25.31,0.099957,20900.0,528979.0,616045400.0,2463675400.0,0.000858668857847,25.3100049269,,,,,,
sz300374,2015-03-25,27.84,27.84,27.84,27.84,0.09996,28627.0,796975.68,677625600.0,2709945600.0,0.00117612982744,27.8399930194,,,,,,
sz300374,2015-03-26,30.62,30.62,30.62,30.62,0.099856,98850.0,3026787.0,745290800.0,2980550800.0,0.00406121610518,30.6199833624,,,,,,
sz300374,2015-03-27,32.02,33.6,30.62,32.7,0.067929,13275742.0,427421600.76,795918000.0,3183018000.0,0.545429005752,32.6999682122,,,,,,
sz300374,2015-03-30,31.4,31.96,30.5,30.94,-0.053823,7682340.0,238434922.3,753079600.0,3011699600.0,0.315626129827,30.9399578231,,,,,,
sz300374,2015-03-31,31.11,31.45,30.67,30.86,-0.002586,4127185.0,127948676.05,751132400.0,3003912400.0,0.169563886606,30.8599470922,,,,,,
sz300374,2015-04-01,30.87,31.58,30.77,31.22,0.011666,3733960.0,116291461.99,759894800.0,3038954800.0,0.153408381265,31.2199592349,,,,,,
sz300374,2015-04-02,31.15,33.3,31.13,32.33,0.035554,6443110.0,207028453.84,786912200.0,3147002200.0,0.264712818406,32.3299536656,,,,,,
sz300374,2015-04-03,31.6,32.29,31.41,32.21,-0.003712,4743756.0,151321696.28,783991400.0,3135321400.0,0.19489548069,32.2099448776,,,,,,
sz300374,2015-04-07,32.2,33.19,32.16,33.11,0.027942,5651335.0,185235110.12,805897400.0,3222927400.0,0.232183032046,33.1099551573,,,,,,
sz300374,2015-04-08,33.12,33.56,31.58,32.35,-0.022954,4708160.0,152545466.86,787399000.0,3148949000.0,0.193433032046,32.3499492467,,,,,,
sz300374,2015-04-09,32.01,32.28,30.66,31.91,-0.013601,3608875.0,113640876.52,776689400.0,3106119400.0,0.148269309778,31.909957587,,,,,,
sz300374,2015-04-10,31.6,32.48,31.5,32.28,0.011595,3183445.0,102334976.47,785695200.0,3142135200.0,0.130790673788,32.2799535452,,,,,,
sz300374,2015-04-13,32.39,34.5,32.22,34.5,0.068773,6171655.0,206147476.79,839730000.0,3358230000.0,0.253560188989,34.4999427903,,,,,,
sz300374,2015-04-14,34.89,36.26,33.91,34.49,-0.00029,6620229.0,233692954.18,839486600.0,3357256600.0,0.271989687757,34.4899378069,,,,,,
sz300374,2015-04-15,33.8,33.92,31.77,31.77,-0.078863,4161335.0,135853042.17,773281800.0,3092491800.0,0.170966926869,31.7699578417,,,,,,
sz300374,2015-04-16,31.77,32.75,31.38,32.05,0.008813,2363494.0,75899756.44,780097000.0,3119747000.0,0.0971032867707,32.0499464801,,,,,,
sz300374,2015-04-17,32.98,33.58,32.2,32.4,0.01092,2991535.0,98206204.34,788616000.0,3153816000.0,0.122906121611,32.3999318957,,,,,,
