code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sz002303,2009-11-03,36.3,37.49,35.2,35.28,0.391167,25894676.0,934825261.15,1270080000.0,6308064000.0,0.719296555556,35.28,,,,,,
sz002303,2009-11-04,34.0,34.05,32.52,32.98,-0.065193,10076742.0,334021399.21,1187280000.0,5896824000.0,0.2799095,32.97999096,,,,,,
sz002303,2009-11-05,32.72,33.36,32.7,33.09,0.003335,4677288.0,154530782.81,1191240000.0,5916492000.0,0.129924666667,33.0899792299,,,,,,
sz002303,2009-11-06,33.15,33.4,32.72,32.98,-0.003324,4998785.0,164522468.68,1187280000.0,5896824000.0,0.138855138889,32.9799881389,,,,,,
sz002303,2009-11-09,32.9,33.19,32.73,32.99,0.000303,2800995.0,92353638.76,1187640000.0,5898612000.0,0.0778054166667,32.9899810753,,,,,,
sz002303,2009-11-10,33.13,33.17,32.48,32.48,-0.015459,4070844.0,133150782.06,1169280000.0,5807424000.0,0.113079,32.4799889579,,,,,,
sz002303,2009-11-11,32.3,32.38,31.63,32.13,-0.010776,3299324.0,105550931.87,1156680000.0,5744844000.0,0.0916478888889,32.1299845968,,,,,,
sz002303,2009-11-12,32.13,32.78,32.1,32.39,0.008092,2600153.0,84587932.31,1166040000.0,5791332000.0,0.0722264722222,32.3899804322,,,,,,
sz002303,2009-11-13,32.25,32.95,32.25,32.88,0.015128,3219100.0,105095612.64,1183680000.0,5878944000.0,0.0894194444444,32.8799760562,,,,,,
sz002303,2009-11-16,33.0,33.35,32.78,33.14,0.007908,3929283.0,130027120.1,1193040000.0,5925432000.0,0.10914675,33.1399909068,,,,,,
sz002303,2009-11-17,33.23,33.23,32.69,32.73,-0.012372,2769368.0,90924648.07,1178280000.0,5852124000.0,0.0769268888889,32.7299829393,,,,,,
sz002303,2009-11-18,32.7,33.07,32.5,32.63,-0.003055,2124055.0,69540784.15,1174680000.0,5834244000.0,0.0590015277778,32.6299928415,,,,,,
sz002303,2009-11-19,32.71,33.98,32.71,33.71,0.033098,5750637.0,192256141.97,1213560000.0,6027348000.0,0.159739916667,33.7099803445,,,,,,
sz002303,2009-11-20,33.5,34.79,33.45,34.01,0.008899,4926613.0,168425920.56,1224360000.0,6080988000.0,0.136850361111,34.0099654596,,,,,,
sz002303,2009-11-23,34.11,34.8,34.01,34.8,0.023228,4328528.0,149194967.52,1252800000.0,6222240000.0,0.120236888889,34.7999489373,,,,,,
sz002303,2009-11-24,34.92,34.99,32.71,32.93,-0.053736,5185806.0,176605521.24,1185480000.0,5887884000.0,0.144050166667,32.9299388812,,,,,,
sz002303,2009-11-25,32.8,34.43,32.5,34.22,0.039174,4152601.0,139397485.77,1231920000.0,6118536000.0,0.115350027778,34.2199363069,,,,,,
sz002303,2009-11-26,34.22,34.65,32.66,32.76,-0.042665,3894754.0,131180084.88,1179360000.0,5857488000.0,0.108187611111,32.7599427244,,,,,,
sz002303,2009-11-27,32.52,33.31,32.21,32.76,0.0,2336949.0,76564136.25,1179360000.0,5857488000.0,0.06491525,32.7599427244,,,,,,
sz002303,2009-11-30,32.99,33.68,32.76,33.55,0.024115,2428076.0,80804597.5,1207800000.0,5998740000.0,0.0674465555556,33.5499487432,,,,,,
sz002303,2009-12-01,33.45,33.8,33.01,33.8,0.007452,3225399.0,108007297.7,1216800000.0,6043440000.0,0.0895944166667,33.7999629612,,,,,,
sz002303,2009-12-02,34.04,34.67,33.75,34.01,0.006213,3883599.0,132815627.67,1224360000.0,6080988000.0,0.10787775,34.0099621311,,,,,,
sz002303,2009-12-03,33.82,34.93,33.77,34.8,0.023228,5245012.0,180877527.26,1252800000.0,6222240000.0,0.145694777778,34.7999455315,,,,,,
sz002303,2009-12-04,34.85,34.97,33.11,33.55,-0.03592,5016882.0,170750053.01,1207800000.0,5998740000.0,0.139357833333,33.549931488,,,,,,
sz002303,2009-12-07,33.41,34.18,33.41,34.03,0.014307,1860883.0,63050302.7,1225080000.0,6084564000.0,0.0516911944444,34.0299303578,,,,,,
sz002303,2009-12-08,34.15,34.18,33.2,33.55,-0.014105,1907691.0,63918968.68,1207800000.0,5998740000.0,0.0529914166667,33.5499381901,,,,,,
sz002303,2009-12-09,33.25,33.57,32.8,32.93,-0.01848,1671984.0,55427243.86,1185480000.0,5887884000.0,0.046444,32.9299353324,,,,,,
sz002303,2009-12-10,33.1,33.63,33.0,33.36,0.013058,1713398.0,57142717.47,1200960000.0,5964768000.0,0.0475943888889,33.3599344279,,,,,,
sz002303,2009-12-11,33.34,33.55,33.0,33.09,-0.008094,1436723.0,47771514.62,1191240000.0,5916492000.0,0.0399089722222,33.0899191187,,,,,,
sz002303,2009-12-14,33.01,33.54,32.89,33.42,0.009973,1541304.0,51258989.84,1203120000.0,5975496000.0,0.042814,33.419924882,,,,,,
sz002303,2009-12-15,33.45,34.08,33.3,33.7,0.008378,2570657.0,86992301.92,1213200000.0,6025560000.0,0.0714071388889,33.6999170127,,,,,,
sz002303,2009-12-16,33.5,33.54,32.81,32.85,-0.025223,2045384.0,67715231.62,1182600000.0,5873580000.0,0.0568162222222,32.8499040059,,,,,,
sz002303,2009-12-17,32.88,33.01,31.87,32.08,-0.02344,1948653.0,62779263.88,1154880000.0,5735904000.0,0.05412925,32.079902256,,,,,,
sz002303,2009-12-18,31.82,31.82,30.44,30.67,-0.043953,1620367.0,50146078.73,1104120000.0,5483796000.0,0.0450101944444,30.6698943121,,,,,,
sz002303,2009-12-21,30.7,31.28,30.65,31.19,0.016955,871062.0,27014138.75,1122840000.0,5576772000.0,0.0241961666667,31.1899023702,,,,,,
sz002303,2009-12-22,31.2,31.26,29.93,29.93,-0.040398,1306192.0,39698430.17,1077480000.0,5351484000.0,0.0362831111111,29.9298926942,,,,,,
sz002303,2009-12-23,30.02,30.43,29.8,30.35,0.014033,963265.0,29023791.59,1092600000.0,5426580000.0,0.0267573611111,30.3498988784,,,,,,
sz002303,2009-12-24,30.36,31.19,30.13,31.16,0.026689,1494721.0,45991926.01,1121760000.0,5571408000.0,0.0415200277778,31.1599073296,,,,,,
sz002303,2009-12-25,31.2,31.2,30.7,30.89,-0.008665,992394.0,30597399.21,1112040000.0,5523132000.0,0.0275665,30.8899067326,,,,,,
sz002303,2009-12-28,30.71,31.28,30.71,31.22,0.010683,909234.0,28280118.14,1123920000.0,5582136000.0,0.0252565,31.2199036062,,,,,,
sz002303,2009-12-29,31.6,31.6,31.03,31.43,0.006726,1055730.0,33073594.76,1131480000.0,5619684000.0,0.0293258333333,31.4298886779,,,,,,
sz002303,2009-12-30,31.5,31.7,31.18,31.29,-0.004454,993787.0,31188577.08,1126440000.0,5594652000.0,0.0276051944444,31.2898999537,,,,,,
sz002303,2009-12-31,31.3,31.65,31.22,31.5,0.006711,1046307.0,32913786.36,1134000000.0,5632200000.0,0.0290640833333,31.4998864723,,,,,,
sz002303,2010-01-04,31.68,31.74,31.33,31.39,-0.003492,943046.0,29717069.03,1130040000.0,5612532000.0,0.0261957222222,31.3898888687,,,,,,
sz002303,2010-01-05,31.4,31.6,31.1,31.5,0.003504,1173314.0,36818824.43,1134000000.0,5632200000.0,0.0325920555556,31.4998790393,,,,,,
sz002303,2010-01-06,31.51,32.63,31.45,32.2,0.022222,2608410.0,83987834.17,1159200000.0,5757360000.0,0.0724558333333,32.1998693513,,,,,,
sz002303,2010-01-07,32.2,32.59,31.72,31.79,-0.012733,2194142.0,70636140.83,1144440000.0,5684052000.0,0.0609483888889,31.7898684149,,,,,,
sz002303,2010-01-08,31.76,32.6,31.41,32.57,0.024536,1848629.0,59423599.06,1172520000.0,5823516000.0,0.0513508055556,32.5698646263,,,,,,
sz002303,2010-01-12,32.71,33.6,32.71,33.4,0.025484,3063203.0,102103004.75,1202400000.0,5971920000.0,0.0850889722222,33.3998750564,,,,,,
sz002303,2010-01-13,32.89,33.6,32.51,32.88,-0.015569,2080509.0,68490089.0,1183680000.0,5878944000.0,0.0577919166667,32.8798724017,,,,,,
sz002303,2010-01-14,32.88,33.56,32.8,33.28,0.012165,1636419.0,54514674.42,1198080000.0,5950464000.0,0.0454560833333,33.2798560494,,,,,,
sz002303,2010-01-15,33.3,33.8,33.1,33.57,0.008714,1815232.0,60816097.46,1208520000.0,6002316000.0,0.0504231111111,33.5698567151,,,,,,
sz002303,2010-01-18,33.54,33.8,33.33,33.53,-0.001192,1251156.0,41903046.6,1207080000.0,5995164000.0,0.0347543333333,33.5298414459,,,,,,
sz002303,2010-01-19,33.7,33.7,33.17,33.4,-0.003877,1564351.0,52222006.38,1202400000.0,5971920000.0,0.0434541944444,33.3998462506,,,,,,
sz002303,2010-01-20,33.35,33.35,32.2,32.25,-0.034431,2317929.0,76309912.94,1161000000.0,5766300000.0,0.0643869166667,32.2498561443,,,,,,
sz002303,2010-01-21,32.33,32.95,32.33,32.38,0.004031,835125.0,27173999.11,1165680000.0,5789544000.0,0.0231979166667,32.3798553144,,,,,,
sz002303,2010-01-22,32.13,32.23,30.0,30.6,-0.054972,1694292.0,52574288.12,1101600000.0,5471280000.0,0.0470636666667,30.5998699081,,,,,,
sz002303,2010-01-25,30.12,30.93,30.12,30.38,-0.00719,564195.0,17208147.78,1093680000.0,5431944000.0,0.0156720833333,30.3798568435,,,,,,
sz002303,2010-01-26,30.44,30.62,29.28,29.4,-0.032258,865297.0,25804506.01,1058400000.0,5256720000.0,0.0240360277778,29.3998634214,,,,,,
sz002303,2010-01-27,29.47,29.73,28.95,29.18,-0.007483,881052.0,25759679.28,1050480000.0,5217384000.0,0.0244736666667,29.1798642434,,,,,,
sz002303,2010-01-28,29.0,29.46,28.82,29.2,0.000685,401596.0,11745633.49,1051200000.0,5220960000.0,0.0111554444444,29.1998524504,,,,,,
sz002303,2010-01-29,29.0,29.56,28.9,29.0,-0.006849,701998.0,20541935.35,1044000000.0,5185200000.0,0.0194999444444,28.999862661,,,,,,
sz002303,2010-02-01,28.93,28.98,27.51,27.62,-0.047586,1147711.0,31913439.87,994320000.0,4938456000.0,0.0318808611111,27.6198751964,,,,,,
sz002303,2010-02-02,27.71,28.04,27.36,27.6,-0.000724,682028.0,18860944.62,993600000.0,4934880000.0,0.0189452222222,27.5998784068,,,,,,
sz002303,2010-02-03,26.18,26.98,25.69,26.89,-0.025725,6590113.0,173321699.02,1210050000.0,4807932000.0,0.146446955556,26.8898715347,,,,,,
sz002303,2010-02-04,26.59,27.22,26.21,26.89,0.0,2992038.0,79891784.1,1210050000.0,4807932000.0,0.0664897333333,26.8898715347,,,,,,
sz002303,2010-02-05,26.7,27.67,26.41,27.25,0.013388,3405579.0,92155942.18,1226250000.0,4872300000.0,0.0756795333333,27.2498731349,,,,,,
sz002303,2010-02-08,27.25,27.89,26.92,27.69,0.016147,2453920.0,67533205.95,1246050000.0,4950972000.0,0.0545315555556,27.6898768364,,,,,,
sz002303,2010-02-10,27.95,29.89,27.95,29.55,0.067172,2962520.0,85716342.24,1329750000.0,5283540000.0,0.0658337777778,29.5498612432,,,,,,
sz002303,2010-02-11,29.44,29.6,29.02,29.49,-0.00203,1570265.0,45948695.46,1327050000.0,5272812000.0,0.0348947777778,29.4898750249,,,,,,
sz002303,2010-02-12,29.5,29.74,29.29,29.69,0.006782,927847.0,27412004.32,1336050000.0,5308572000.0,0.0206188222222,29.6898753573,,,,,,
sz002303,2010-02-22,29.69,29.69,28.7,28.75,-0.03166,917108.0,26703199.15,1293750000.0,5140500000.0,0.0203801777778,28.7498939035,,,,,,
sz002303,2010-02-23,28.7,29.44,28.4,29.36,0.021217,1088041.0,31449803.1,1321200000.0,5249568000.0,0.0241786888889,29.3598804024,,,,,,
sz002303,2010-02-24,29.31,30.24,29.03,30.07,0.024183,1316241.0,39452815.98,1353150000.0,5376516000.0,0.0292498,30.0698903902,,,,,,
