code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sh600073,1997-07-04,6.66,7.45,6.66,6.85,0.7125,53921321.0,375882768.0,616500000.0,1849500000.0,0.599125788889,6.85,,,,,,
sh600073,1997-07-07,6.87,6.98,6.17,6.18,-0.09781,20175755.0,129567891.0,556200000.0,1668600000.0,0.224175055556,6.1800015,,,,,,
sh600073,1997-07-08,6.15,6.38,5.75,6.27,0.014563,11415477.0,69711455.0,564300000.0,1692900000.0,0.126838633333,6.27000086184,,,,,,
sh600073,1997-07-09,6.18,6.25,5.9,6.04,-0.036683,7263361.0,43851604.0,543600000.0,1630800000.0,0.0807040111111,6.03999842023,,,,,,
sh600073,1997-07-10,6.05,6.24,5.88,6.04,0.0,7072093.0,42540785.0,543600000.0,1630800000.0,0.0785788111111,6.03999842023,,,,,,
sh600073,1997-07-11,6.0,6.55,5.98,6.5,0.076159,9811758.0,62422638.0,585000000.0,1755000000.0,0.109019533333,6.49999865992,,,,,,
sh600073,1997-07-14,6.65,7.15,6.55,7.15,0.1,22451549.0,156844623.0,643500000.0,1930500000.0,0.249461655556,7.14999852591,,,,,,
sh600073,1997-07-15,7.3,7.57,7.08,7.38,0.032168,23099499.0,169841356.0,664200000.0,1992600000.0,0.2566611,7.37999967849,,,,,,
sh600073,1997-07-16,7.38,7.44,7.05,7.2,-0.02439,10073957.0,72509441.0,648000000.0,1944000000.0,0.111932855556,7.20000148633,,,,,,
sh600073,1997-07-17,7.14,7.5,7.12,7.36,0.022222,8091411.0,59331622.0,662400000.0,1987200000.0,0.0899045666667,7.35999991936,,,,,,
sh600073,1997-07-18,7.34,7.35,7.08,7.23,-0.017663,6898427.0,49609137.0,650700000.0,1952100000.0,0.0766491888889,7.23000024078,,,,,,
sh600073,1997-07-21,7.28,7.37,6.95,7.04,-0.026279,7118944.0,51533701.0,633600000.0,1900800000.0,0.0790993777778,7.04000306446,,,,,,
sh600073,1997-07-22,7.0,7.16,6.74,7.15,0.015625,6643560.0,45983930.0,643500000.0,1930500000.0,0.0738173333333,7.15000311234,,,,,,
sh600073,1997-07-23,7.2,7.28,6.96,7.03,-0.016783,4205555.0,29777627.0,632700000.0,1898100000.0,0.0467283888889,7.0300046101,,,,,,
sh600073,1997-07-24,6.98,7.19,6.87,7.07,0.00569,3620150.0,25462635.0,636300000.0,1908900000.0,0.0402238888889,7.07000533634,,,,,,
sh600073,1997-07-25,6.98,7.08,6.91,6.98,-0.01273,2386400.0,16696558.0,628200000.0,1884600000.0,0.0265155555556,6.9800041684,,,,,,
sh600073,1997-07-28,7.0,7.35,6.98,7.12,0.020057,6046715.0,43514971.0,640800000.0,1922400000.0,0.0671857222222,7.12000211201,,,,,,
sh600073,1997-07-29,7.1,7.26,7.0,7.18,0.008427,3476059.0,24840777.0,646200000.0,1938600000.0,0.0386228777778,7.18000236981,,,,,,
sh600073,1997-07-30,7.2,7.75,7.18,7.65,0.06546,16489375.0,124752458.0,688500000.0,2065500000.0,0.183215277778,7.65000532494,,,,,,
sh600073,1997-07-31,7.65,7.74,7.41,7.55,-0.013072,6902450.0,52282799.0,679500000.0,2038500000.0,0.0766938888889,7.55000445533,,,,,,
sh600073,1997-08-01,7.55,7.85,7.5,7.59,0.005298,6775144.0,52074609.0,683100000.0,2049300000.0,0.0752793777778,7.59000437893,,,,,,
sh600073,1997-08-04,7.65,7.85,7.63,7.71,0.01581,5669267.0,43972189.0,693900000.0,2081700000.0,0.0629918555556,7.71000234816,,,,,,
sh600073,1997-08-05,7.8,7.85,7.56,7.65,-0.007782,4848093.0,37167196.0,688500000.0,2065500000.0,0.0538677,7.65000310989,,,,,,
sh600073,1997-08-06,7.62,7.64,7.28,7.32,-0.043137,4287701.0,31953777.0,658800000.0,1976400000.0,0.0476411222222,7.32000492574,,,,,,
sh600073,1997-08-07,7.24,7.56,7.15,7.55,0.031421,3558591.0,25952173.0,679500000.0,2038500000.0,0.0395399,7.55000680051,,,,,,
