code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sh600620,1992-11-17,76.0,76.5,61.9,73.5,0.47,130518.0,9239304.7,35280000.0,183750000.0,0.2719125,73.5,,,,,,
sh600620,1992-11-18,70.0,87.0,70.0,85.1,0.157823,88711.0,6859009.95,40848000.0,212750000.0,0.184814583333,85.0999905,,,,,,
sh600620,1992-11-19,86.0,93.5,80.0,88.2,0.036428,147814.0,13192376.65,42336000.0,220500000.0,0.307945833333,88.2000129539,,,,,,
sh600620,1992-11-20,89.0,90.8,85.05,88.9,0.007937,87004.0,7647446.1,42672000.0,222250000.0,0.181258333333,88.9000564567,,,,,,
sh600620,1992-11-23,90.0,94.0,89.1,93.7,0.053993,82245.0,7540682.65,44976000.0,234250000.0,0.17134375,93.700037205,,,,,,
sh600620,1992-11-24,94.0,117.0,94.0,115.0,0.227321,80560.0,8247531.0,55200000.0,287500000.0,0.167833333333,115.000023363,,,,,,
sh600620,1992-11-25,125.0,179.0,120.0,175.0,0.521739,82061.0,12192622.0,84000000.0,437500000.0,0.170960416667,175.000020552,,,,,,
sh600620,1992-11-26,230.0,248.0,135.0,150.0,-0.142857,72239.0,13704682.0,72000000.0,375000000.0,0.150497916667,150.000042616,,,,,,
sh600620,1992-11-27,130.0,205.0,120.0,190.0,0.266667,78258.0,13869191.5,91200000.0,475000000.0,0.1630375,190.00010398,,,,,,
sh600620,1992-11-30,205.0,215.0,190.0,205.5,0.081579,65259.0,13180137.7,98640000.0,513750000.0,0.13595625,205.500122462,,,,,,
sh600620,1992-12-01,215.0,215.0,180.0,194.5,-0.053528,41580.0,8092407.0,93360000.0,486250000.0,0.086625,194.500111907,,,,,,
sh600620,1992-12-02,186.0,198.0,183.0,193.5,-0.005141,28520.0,5476247.5,92880000.0,483750000.0,0.0594166666667,193.500186832,,,,,,
sh600620,1992-12-03,200.0,206.0,190.0,203.0,0.049096,40420.0,8105725.0,97440000.0,507500000.0,0.0842083333333,203.000272005,,,,,,
sh600620,1992-12-04,210.0,214.9,200.0,200.0,-0.014778,36440.0,7464988.0,96000000.0,500000000.0,0.0759166666667,200.000333985,,,,,,
sh600620,1992-12-07,190.0,200.0,185.0,198.0,-0.01,25000.0,4856648.0,95040000.0,495000000.0,0.0520833333333,198.000330645,,,,,,
sh600620,1992-12-08,204.0,204.0,188.0,190.0,-0.040404,61000.0,11768992.0,91200000.0,475000000.0,0.127083333333,190.000325286,,,,,,
sh600620,1992-12-09,188.0,190.0,165.0,171.0,-0.1,31420.0,5706899.0,82080000.0,427500000.0,0.0654583333333,171.000292757,,,,,,
sh600620,1992-12-10,15.85,17.8,14.8,16.0,-0.064328,269100.0,4391028.0,76800000.0,400000000.0,0.0560625,160.000185925,,,,,,
sh600620,1992-12-11,16.95,18.2,15.4,18.0,0.125,415800.0,6910438.0,86400000.0,450000000.0,0.086625,180.000209165,,,,,,
sh600620,1992-12-14,18.0,18.49,16.4,17.0,-0.055556,255500.0,4340723.0,81600000.0,425000000.0,0.0532291666667,170.000117545,,,,,,
sh600620,1992-12-15,17.2,17.5,16.05,16.8,-0.011765,141100.0,2408422.0,80640000.0,420000000.0,0.0293958333333,168.000066162,,,,,,
sh600620,1992-12-16,16.63,17.25,16.5,16.9,0.005952,118300.0,1999730.0,81120000.0,422500000.0,0.0246458333333,169.000002556,,,,,,
sh600620,1992-12-17,17.4,17.48,17.0,17.4,0.029586,167000.0,2884766.0,83520000.0,435000000.0,0.0347916666667,174.000036631,,,,,,
sh600620,1992-12-18,17.2,17.8,16.91,17.2,-0.011494,84600.0,1472913.0,82560000.0,430000000.0,0.017625,172.00008021,,,,,,
sh600620,1992-12-21,16.2,18.08,16.2,17.6,0.023256,236110.0,4167507.1,84480000.0,440000000.0,0.0491895833333,176.000114076,,,,,,
sh600620,1992-12-22,17.66,18.1,17.0,17.5,-0.005682,163300.0,2901579.0,84000000.0,437500000.0,0.0340208333333,175.000081428,,,,,,
sh600620,1992-12-23,17.4,17.7,17.25,17.6,0.005714,70200.0,1231509.0,84480000.0,440000000.0,0.014625,176.000031893,,,,,,
sh600620,1992-12-24,17.67,18.1,17.56,18.1,0.028409,117800.0,2101442.0,86880000.0,452500000.0,0.0245416666667,181.000016799,,,,,,
sh600620,1992-12-25,18.2,18.8,17.9,18.1,0.0,283700.0,5221663.0,86880000.0,452500000.0,0.0591041666667,181.000016799,,,,,,
sh600620,1992-12-28,18.5,18.9,17.85,18.0,-0.005525,160070.0,2910767.0,86400000.0,450000000.0,0.0333479166667,179.999991706,,,,,,
sh600620,1992-12-29,18.3,18.97,18.1,18.97,0.053889,162210.0,3009244.0,91056000.0,474250000.0,0.03379375,189.700011259,,,,,,
sh600620,1992-12-30,19.2,19.49,18.85,19.06,0.004744,263430.0,5057011.4,91488000.0,476500000.0,0.05488125,190.599948113,,,,,,
sh600620,1992-12-31,19.0,19.9,19.0,19.82,0.039874,279600.0,5470586.0,95136000.0,495500000.0,0.05825,198.199930444,,,,,,
