code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sz000514,1993-07-12,13.5,13.5,10.35,10.8,9.8,104700.0,1124590.0,272160000.0,813758400.0,0.00415476190476,10.8,,,,,,
sz000514,1993-07-13,10.85,10.85,9.95,10.3,-0.046296,142600.0,1459010.0,259560000.0,776084400.0,0.00565873015873,10.3000032,,,,,,
sz000514,1993-07-14,10.05,10.5,10.0,10.05,-0.024272,132500.0,1342310.0,253260000.0,757247400.0,0.00525793650794,10.0500015223,,,,,,
sz000514,1993-07-15,10.1,10.1,9.3,9.4,-0.064677,199500.0,1919570.0,236880000.0,708271200.0,0.00791666666667,9.39999757387,,,,,,
sz000514,1993-07-16,9.4,9.4,8.65,8.9,-0.053191,253100.0,2243995.0,224280000.0,670597200.0,0.0100436507937,8.90000230292,,,,,,
sz000514,1993-07-19,8.9,8.9,8.0,8.3,-0.067416,259500.0,2177150.0,209160000.0,625388400.0,0.0102976190476,8.29999974766,,,,,,
sz000514,1993-07-20,8.1,8.2,7.2,8.2,-0.012048,443900.0,3376955.0,206640000.0,617853600.0,0.0176150793651,8.2000013507,,,,,,
sz000514,1993-07-21,8.35,8.4,7.5,7.85,-0.042683,554600.0,4464450.0,197820000.0,591481800.0,0.0220079365079,7.85000069305,,,,,,
sz000514,1993-07-22,7.85,8.2,7.5,8.15,0.038217,396900.0,3162955.0,205380000.0,614086200.0,0.01575,8.15000416954,,,,,,
sz000514,1993-07-23,8.15,9.0,8.0,9.0,0.104294,1076600.0,9246270.0,226800000.0,678132000.0,0.0427222222222,9.0000007044,,,,,,
sz000514,1993-07-26,9.0,9.1,8.55,8.65,-0.038889,791700.0,6901365.0,217980000.0,651760200.0,0.0314166666667,8.649999677,,,,,,
sz000514,1993-07-27,8.5,9.0,8.45,9.0,0.040462,650000.0,5692135.0,226800000.0,678132000.0,0.0257936507937,8.99999596393,,,,,,
sz000514,1993-07-28,9.0,9.35,8.9,9.05,0.005556,861400.0,7866080.0,228060000.0,681899400.0,0.0341825396825,9.04999994151,,,,,,
sz000514,1993-07-29,9.1,9.15,8.4,9.0,-0.005525,485400.0,4268750.0,226800000.0,678132000.0,0.0192619047619,8.99999869183,,,,,,
sz000514,1993-07-30,9.15,9.95,9.15,9.75,0.083333,1504200.0,14512560.0,245700000.0,734643000.0,0.0596904761905,9.74999558282,,,,,,
sz000514,1993-08-02,9.9,10.0,9.45,9.5,-0.025641,1240400.0,12168190.0,239400000.0,715806000.0,0.0492222222222,9.49999594608,,,,,,
sz000514,1993-08-03,9.35,9.6,9.25,9.25,-0.026316,576000.0,5431365.0,233100000.0,696969000.0,0.0228571428571,9.24999405276,,,,,,
sz000514,1993-08-04,9.1,9.55,9.1,9.4,0.016216,408600.0,3789575.0,236880000.0,708271200.0,0.0162142857143,9.39999195632,,,,,,
sz000514,1993-08-05,9.55,9.9,9.45,9.85,0.047872,887800.0,8602565.0,248220000.0,742177800.0,0.0352301587302,9.84998837126,,,,,,
sz000514,1993-08-06,9.85,9.85,9.5,9.55,-0.030457,713100.0,6909670.0,240660000.0,719573400.0,0.0282976190476,9.54998727543,,,,,,
sz000514,1993-08-09,9.5,10.0,9.5,10.0,0.04712,900300.0,8857595.0,252000000.0,753480000.0,0.0357261904762,9.99998267585,,,,,,
sz000514,1993-08-10,10.15,10.6,10.05,10.15,0.015,1360600.0,14028145.0,255780000.0,764782200.0,0.0539920634921,10.149982416,,,,,,
sz000514,1993-08-11,10.15,11.5,10.15,11.35,0.118227,2228100.0,24926540.0,286020000.0,855199800.0,0.0884166666667,11.3499843871,,,,,,
sz000514,1993-08-12,11.5,11.65,11.0,11.5,0.013216,2306700.0,26322430.0,289800000.0,866502000.0,0.0915357142857,11.4999857807,,,,,,
sz000514,1993-08-13,11.65,12.8,11.55,12.7,0.104348,1844500.0,21646935.0,320040000.0,956919600.0,0.0731944444444,12.699986297,,,,,,
sz000514,1993-08-16,12.85,14.55,12.85,14.5,0.141732,2405100.0,33072075.0,365400000.0,1092546000.0,0.0954404761905,14.4999807548,,,,,,
sz000514,1993-08-17,14.65,15.2,12.5,12.6,-0.131034,2488300.0,35157320.0,317520000.0,949384800.0,0.0987420634921,12.5999902766,,,,,,
sz000514,1993-08-18,12.45,14.0,12.35,13.4,0.063492,2527400.0,33619480.0,337680000.0,1009663200.0,0.100293650794,13.3999888593,,,,,,
sz000514,1993-08-19,13.55,13.9,12.9,13.75,0.026119,1919400.0,26104560.0,346500000.0,1036035000.0,0.0761666666667,13.7499831683,,,,,,
sz000514,1993-08-20,13.6,13.6,12.5,13.25,-0.036364,1627000.0,21199980.0,333900000.0,998361000.0,0.0645634920635,13.2499787803,,,,,,
sz000514,1993-08-23,13.1,13.1,11.9,11.9,-0.101887,1090600.0,13424505.0,299880000.0,896641200.0,0.0432777777778,11.8999781923,,,,,,
sz000514,1993-08-24,11.75,13.7,11.2,13.65,0.147059,2177400.0,27879375.0,343980000.0,1028500200.0,0.0864047619048,13.6499770853,,,,,,
sz000514,1993-08-25,13.65,13.65,12.4,12.95,-0.051282,1773900.0,23276650.0,326340000.0,975756600.0,0.0703928571429,12.9499789604,,,,,,
sz000514,1993-08-26,12.8,13.2,12.55,12.7,-0.019305,785000.0,10135875.0,320040000.0,956919600.0,0.0311507936508,12.6999796166,,,,,,
sz000514,1993-08-27,12.85,13.1,12.5,12.6,-0.007874,861200.0,10915095.0,317520000.0,949384800.0,0.0341746031746,12.5999799771,,,,,,
sz000514,1993-08-30,12.45,13.0,12.1,12.65,0.003968,651700.0,8140975.0,318780000.0,953152200.0,0.0258611111111,12.6499766977,,,,,,
sz000514,1993-08-31,12.7,13.0,12.5,12.75,0.007905,483200.0,6190745.0,321300000.0,960687000.0,0.0191746031746,12.7499747635,,,,,,
sz000514,1993-09-01,12.65,12.8,12.3,12.6,-0.011765,430300.0,5398435.0,317520000.0,949384800.0,0.0170753968254,12.5999713104,,,,,,
sz000514,1993-09-02,12.45,12.8,12.25,12.4,-0.015873,340500.0,4239130.0,312480000.0,934315200.0,0.0135119047619,12.3999719658,,,,,,
sz000514,1993-09-03,12.6,13.0,12.3,12.9,0.040323,298100.0,3755470.0,325080000.0,971989200.0,0.0118293650794,12.8999760353,,,,,,
sz000514,1993-09-06,13.0,13.0,12.6,12.8,-0.007752,544100.0,6974805.0,322560000.0,964454400.0,0.0215912698413,12.7999754211,,,,,,
sz000514,1993-09-07,12.9,13.0,12.8,12.8,0.0,330800.0,4272630.0,322560000.0,964454400.0,0.013126984127,12.7999754211,,,,,,
sz000514,1993-09-08,12.8,12.9,12.4,12.65,-0.011719,206000.0,2601810.0,318780000.0,953152200.0,0.0081746031746,12.6499725091,,,,,,
sz000514,1993-09-09,12.6,12.75,12.55,12.6,-0.003953,90300.0,1138335.0,317520000.0,949384800.0,0.00358333333333,12.5999671678,,,,,,
sz000514,1993-09-10,12.6,12.7,12.15,12.2,-0.031746,511300.0,6289005.0,307440000.0,919245600.0,0.0202896825397,12.1999686101,,,,,,
sz000514,1993-09-13,12.05,12.05,11.4,11.5,-0.057377,472600.0,5501895.0,289800000.0,866502000.0,0.018753968254,11.4999710112,,,,,,
