index_code,date,open,close,low,high,volume,money,change
sh000001,2015-07-31,3655.67,3663.73,3620.17,3729.51,350955745.0,4.6047225e+11,-0.0113444709197
sh000001,2015-07-30,3773.79,3705.77,3685.96,3844.37,457943228.0,6.1597792e+11,-0.0220100971981
sh000001,2015-07-29,3689.82,3789.17,3612.06,3792.07,434352085.0,5.5749196e+11,0.0344444444444
sh000001,2015-07-28,3573.14,3663.0,3537.36,3762.53,563330042.0,6.8505752e+11,-0.0167921064216
sh000001,2015-07-27,3985.57,3725.56,3720.44,4051.16,556003247.0,7.2129809e+11,-0.0848336121408
sh000001,2015-07-24,4124.75,4070.91,4044.83,4184.45,627424860.0,8.4302207e+11,-0.0128542745737
sh000001,2015-07-23,4022.27,4123.92,4019.04,4132.61,563585966.0,7.4353187e+11,0.0243117306336
sh000001,2015-07-22,3996.43,4026.04,3960.86,4042.34,520732225.0,6.7883192e+11,0.0020808028514
sh000001,2015-07-21,3939.9,4017.68,3912.8,4041.82,504288028.0,6.4641685e+11,0.00640513412707
sh000001,2015-07-20,3948.42,3992.11,3927.12,4021.33,539106714.0,6.8825557e+11,0.00878365572921
sh000001,2015-07-17,3831.42,3957.35,3814.15,3994.48,481726268.0,5.9306698e+11,0.0350938224201
sh000001,2015-07-16,3758.5,3823.18,3688.44,3877.51,492256200.0,5.6985894e+11,0.0045931103345
sh000001,2015-07-15,3874.97,3805.7,3741.25,3914.27,601301324.0,7.0053652e+11,-0.0302689011821
sh000001,2015-07-14,3958.37,3924.49,3855.56,4035.44,670558799.0,8.3007468e+11,-0.0115605771725
sh000001,2015-07-13,3918.99,3970.39,3858.64,4030.2,643489007.0,7.8243054e+11,0.0238769405333
sh000001,2015-07-10,3707.46,3877.8,3677.44,3959.22,586364255.0,6.8043415e+11,0.0454179056595
sh000001,2015-07-09,3432.45,3709.33,3373.54,3748.48,656914612.0,6.7331098e+11,0.0576358851388
sh000001,2015-07-08,3467.4,3507.19,3421.52,3599.25,680356922.0,7.0024834e+11,-0.059008027646
sh000001,2015-07-07,3654.78,3727.12,3585.4,3750.57,698818688.0,7.7607254e+11,-0.0129213884865
sh000001,2015-07-06,3975.21,3775.91,3653.04,3975.21,831139286.0,9.4342043e+11,0.024136677769
sh000001,2015-07-03,3793.71,3686.92,3629.56,3927.13,548163111.0,6.480541e+11,-0.0577212562967
sh000001,2015-07-02,4058.62,3912.77,3795.25,4080.39,586015612.0,7.3600686e+11,-0.0347657695439
sh000001,2015-07-01,4214.15,4053.7,4043.37,4317.05,598769427.0,8.3807093e+11,-0.0522582425033
sh000001,2015-06-30,4006.75,4277.22,3847.88,4279.97,709176633.0,9.4152466e+11,0.0553141723599
sh000001,2015-06-29,4289.77,4053.03,3875.05,4297.48,673786349.0,9.042714e+11,-0.0333518568427
sh000001,2015-06-26,4399.93,4192.87,4139.53,4456.9,565217874.0,7.8783574e+11,-0.0739678164575
sh000001,2015-06-25,4711.76,4527.78,4483.55,4720.7,572797533.0,8.6537973e+11,-0.0346193618541
sh000001,2015-06-24,4604.58,4690.15,4552.13,4691.77,543003709.0,8.1506269e+11,0.0248356273039
sh000001,2015-06-23,4471.61,4576.49,4264.77,4577.94,473526128.0,6.9361719e+11,0.0219120392286
sh000001,2015-06-19,4689.93,4478.36,4476.5,4744.08,452689626.0,6.854582e+11,-0.0641540030426
sh000001,2015-06-18,4942.52,4785.36,4780.87,4966.77,507440899.0,7.8584508e+11,-0.0367438958111
sh000001,2015-06-17,4890.55,4967.9,4767.22,4983.66,537101168.0,8.3026675e+11,0.0164646859392
sh000001,2015-06-16,5004.41,4887.43,4842.1,5029.68,550801407.0,8.9542056e+11,-0.0346751623053
sh000001,2015-06-15,5174.42,5062.99,5048.74,5176.79,637803984.0,1e+12,-0.0200063874883
sh000001,2015-06-12,5143.34,5166.35,5103.4,5178.19,625627854.0,1e+12,0.00873947348382
sh000001,2015-06-11,5101.44,5121.59,5050.77,5122.46,563990522.0,9.7467061e+11,0.00304541288357
sh000001,2015-06-10,5049.2,5106.04,5001.49,5164.16,596969001.0,1e+12,-0.00146474157774
sh000001,2015-06-09,5145.98,5113.53,5042.96,5147.45,729893818.0,1e+12,-0.00357568766222
sh000001,2015-06-08,5045.69,5131.88,4997.48,5146.95,855035085.0,1e+12,0.0216559495132
sh000001,2015-06-05,5016.09,5023.1,4898.07,5051.63,772240812.0,1e+12,0.0153625356269
sh000001,2015-06-04,4912.94,4947.1,4647.41,4947.96,674952402.0,1e+12,0.00756011226115
sh000001,2015-06-03,4924.38,4909.98,4822.44,4942.06,611453839.0,1e+12,-0.000112004203212
sh000001,2015-06-02,4844.7,4910.53,4797.55,4911.57,623748099.0,9.9874575e+11,0.016938166064
sh000001,2015-06-01,4633.1,4828.74,4615.23,4829.5,593389035.0,9.344555e+11,0.0470538235026
sh000001,2015-05-29,4603.46,4611.74,4431.56,4698.19,611262409.0,9.5536559e+11,-0.00184621245079
sh000001,2015-05-28,4943.74,4620.27,4614.24,4986.5,782964592.0,1e+12,-0.0650463098806
sh000001,2015-05-27,4932.85,4941.71,4857.06,4958.16,681165379.0,1e+12,0.00627379909996
sh000001,2015-05-26,4854.85,4910.9,4779.08,4911.69,704892829.0,1e+12,0.0201711745399
sh000001,2015-05-25,4660.08,4813.8,4656.83,4814.67,682461391.0,1e+12,0.0335365853659
sh000001,2015-05-22,4584.98,4657.6,4562.99,4658.27,655591287.0,1e+12,0.028299429066
sh000001,2015-05-21,4456.44,4529.42,4438.26,4530.48,464996520.0,7.2908061e+11,0.0186964862841
sh000001,2015-05-20,4434.98,4446.29,4432.28,4520.54,514106223.0,8.0608053e+11,0.00650586863759
sh000001,2015-05-19,4285.78,4417.55,4285.78,4418.4,436735224.0,6.9381259e+11,0.0312969097628
sh000001,2015-05-18,4277.9,4283.49,4260.51,4324.83,380057452.0,5.9455949e+11,-0.00584864541195
sh000001,2015-05-15,4366.82,4308.69,4278.55,4366.82,439706198.0,6.6596562e+11,-0.0159011125297
sh000001,2015-05-14,4372.82,4378.31,4329.04,4397.75,449077935.0,6.6988228e+11,0.000582755909831
sh000001,2015-05-13,4402.38,4375.76,4342.48,4415.63,510490475.0,7.8075494e+11,-0.00578475968027
sh000001,2015-05-12,4342.37,4398.39,4317.98,4399.41,495834448.0,7.5496084e+11,0.0149553025443
sh000001,2015-05-11,4231.27,4333.58,4187.82,4334.88,488750515.0,7.1524661e+11,0.0303524555864
sh000001,2015-05-08,4152.98,4205.92,4099.04,4206.86,397428094.0,5.5964866e+11,0.0227882330912
sh000001,2015-05-07,4197.9,4112.21,4108.01,4213.76,394566653.0,5.4020629e+11,-0.0276785355392
sh000001,2015-05-06,4311.64,4229.27,4187.37,4376.35,481732993.0,7.1653621e+11,-0.0161536833143
sh000001,2015-05-05,4479.85,4298.71,4282.24,4488.87,572858596.0,8.0556608e+11,-0.0405650312691
sh000001,2015-05-04,4441.34,4480.46,4387.43,4487.57,494173398.0,7.1754081e+11,0.00873774385645
sh000001,2015-04-30,4483.01,4441.65,4441.05,4507.34,526727975.0,7.7434921e+11,-0.00781169721799
sh000001,2015-04-29,4446.12,4476.62,4398.64,4499.94,519834202.0,7.5240179e+11,9.1595345169e-05
sh000001,2015-04-28,4527.63,4476.21,4432.9,4572.39,767676416.0,1e+12,-0.0113067102531
sh000001,2015-04-27,4441.93,4527.4,4441.93,4529.73,671088521.0,9.7524209e+11,0.0304322790183
sh000001,2015-04-24,4355.95,4393.69,4318.12,4416.38,628554996.0,9.1687294e+11,-0.00471626522536
sh000001,2015-04-23,4414.48,4414.51,4358.84,4444.41,667344661.0,9.6302493e+11,0.00364215901366
sh000001,2015-04-22,4304.6,4398.49,4297.95,4400.19,680305086.0,9.7687696e+11,0.0244246114002
sh000001,2015-04-21,4212.19,4293.62,4188.57,4294.38,634470627.0,8.6244778e+11,0.0181499995257
sh000001,2015-04-20,4301.35,4217.08,4190.68,4356.0,857132807.0,1e+12,-0.0163786065822
sh000001,2015-04-17,4254.72,4287.3,4238.91,4317.22,701706205.0,9.1563304e+11,0.0220462379792
sh000001,2015-04-16,4055.92,4194.82,4031.24,4195.31,551242956.0,7.1208244e+11,0.0270949228238
sh000001,2015-04-15,4135.65,4084.16,4069.01,4175.49,613005812.0,7.7312588e+11,-0.0124287883624
sh000001,2015-04-14,4125.78,4135.56,4091.26,4168.35,610683541.0,8.1464519e+11,0.00336025581615
sh000001,2015-04-13,4072.72,4121.71,4057.29,4128.07,589814227.0,7.8166735e+11,0.0216641755344
sh000001,2015-04-10,3947.49,4034.31,3929.32,4040.35,484283619.0,6.6850418e+11,0.0194009900114
sh000001,2015-04-09,4006.13,3957.53,3900.03,4016.4,585176825.0,8.167109e+11,-0.00933210841066
sh000001,2015-04-08,3976.53,3994.81,3903.65,4000.22,618085419.0,8.3915931e+11,0.00843897833583
sh000001,2015-04-07,3899.42,3961.38,3891.73,3961.67,570447535.0,7.46424e+11,0.025220436188
sh000001,2015-04-03,3803.38,3863.93,3792.21,3864.41,473033311.0,6.3565133e+11,0.00997182273941
sh000001,2015-04-02,3827.69,3825.78,3775.89,3835.45,479299673.0,6.3202891e+11,0.00406530736506
sh000001,2015-04-01,3748.34,3810.29,3742.21,3817.08,447458319.0,5.9241831e+11,0.0166466554604
sh000001,2015-03-31,3822.99,3747.9,3737.04,3835.57,561676037.0,7.2129495e+11,-0.0102124085914
sh000001,2015-03-30,3710.61,3786.57,3710.61,3795.94,564702353.0,6.9212535e+11,0.025864918317
sh000001,2015-03-27,3686.13,3691.1,3656.83,3710.48,408945165.0,5.09298463e+11,0.00244425735314
sh000001,2015-03-26,3641.94,3682.1,3615.01,3707.32,488647203.0,6.195156117e+11,0.00583763347748
sh000001,2015-03-25,3680.95,3660.73,3634.56,3693.15,521886348.0,6.454989158e+11,-0.00831118732408
sh000001,2015-03-24,3692.57,3691.41,3600.7,3715.87,639554669.0,7.548847348e+11,0.000997903859556
sh000001,2015-03-23,3640.1,3687.73,3635.49,3688.25,536062832.0,6.615746201e+11,0.0194646865635
sh000001,2015-03-20,3587.08,3617.32,3569.38,3632.34,516661669.0,6.517719767e+11,0.00978429878262
sh000001,2015-03-19,3576.02,3582.27,3546.84,3600.68,537346614.0,6.122496921e+11,0.00138931596455
sh000001,2015-03-18,3510.5,3577.3,3503.85,3577.66,545217144.0,6.173669887e+11,0.0212541216438
sh000001,2015-03-17,3469.6,3502.85,3459.69,3504.12,520939506.0,6.015006605e+11,0.0155219449687
sh000001,2015-03-16,3391.16,3449.31,3377.09,3449.31,399132430.0,4.79355308e+11,0.0226510639181
sh000001,2015-03-13,3359.49,3372.91,3352.15,3391.26,328410154.0,3.740414219e+11,0.00704322071346
sh000001,2015-03-12,3314.81,3349.32,3300.49,3360.05,357295105.0,4.071923904e+11,0.0177519827403
sh000001,2015-03-11,3289.59,3290.9,3278.47,3325.05,282985535.0,3.275730665e+11,0.00146984087375
sh000001,2015-03-10,3289.09,3286.07,3277.1,3309.92,285817576.0,3.299559743e+11,-0.00494790168392
sh000001,2015-03-09,3224.31,3302.41,3198.37,3307.7,321495440.0,3.599275221e+11,0.0188881244234
sh000001,2015-03-06,3248.04,3241.19,3234.53,3266.93,282915791.0,3.283441529e+11,-0.00224412648377
sh000001,2015-03-05,3264.09,3248.48,3221.67,3266.64,320663585.0,3.735799964e+11,-0.00946782008398
