index_code,date,open,close,low,high,volume,money,change
sz399001,2015-07-31,12228.41,12374.25,12213.46,12580.96,235191524.0,4.176114e+11,-0.00174815584483
sz399001,2015-07-30,12766.34,12395.92,12382.3,12988.55,299458538.0,5.4074582e+11,-0.0333110557768
sz399001,2015-07-29,12472.28,12823.07,12078.32,12823.15,296488758.0,5.2308253e+11,0.0411057110706
sz399001,2015-07-28,11986.25,12316.78,11719.0,12676.27,374311038.0,6.1884171e+11,-0.0141094448513
sz399001,2015-07-27,13242.69,12493.05,12488.37,13579.64,364439025.0,6.6769466e+11,-0.0758559930051
sz399001,2015-07-24,13789.31,13518.51,13424.18,13970.84,400855945.0,7.4418313e+11,-0.0171594376544
sz399001,2015-07-23,13432.61,13754.53,13356.05,13792.37,367043495.0,6.5451418e+11,0.0251920390801
sz399001,2015-07-22,13307.93,13416.54,13098.8,13482.04,334908918.0,6.0512041e+11,0.00758360895073
sz399001,2015-07-21,13038.15,13315.56,12928.13,13436.91,312415716.0,5.605919e+11,0.00857193280914
sz399001,2015-07-20,13115.48,13202.39,12942.95,13427.86,358165176.0,6.3175251e+11,0.0151811308916
sz399001,2015-07-17,12460.51,13004.96,12435.59,13097.45,307007633.0,5.0793253e+11,0.052384724878
sz399001,2015-07-16,11963.35,12357.61,11637.47,12600.65,324294156.0,5.0819352e+11,0.0185610125597
sz399001,2015-07-15,12783.08,12132.42,12093.9,12792.31,345295414.0,5.4553365e+11,-0.0468310902062
sz399001,2015-07-14,12796.49,12728.51,12635.2,13091.93,285635144.0,4.9195781e+11,0.0090652092569
sz399001,2015-07-13,12367.62,12614.16,12261.25,12658.07,233849125.0,3.9178258e+11,0.0478495847365
sz399001,2015-07-10,11733.45,12038.14,11696.77,12062.9,158915229.0,2.4732913e+11,0.0458544230666
sz399001,2015-07-09,10953.33,11510.34,10933.0,11513.36,207454532.0,2.7758071e+11,0.0425192172008
sz399001,2015-07-08,10870.14,11040.89,10850.38,11112.62,307328584.0,4.1418824e+11,-0.0294235029361
sz399001,2015-07-07,11660.56,11375.6,11282.62,11767.66,227324024.0,3.0144145e+11,-0.0579813958033
sz399001,2015-07-06,13140.14,12075.77,11584.47,13140.14,396337977.0,6.0908364e+11,-0.013905697016
sz399001,2015-07-03,12475.61,12246.06,11953.08,13154.13,315536177.0,5.0509651e+11,-0.052469825962
sz399001,2015-07-02,13655.73,12924.19,12727.23,13732.49,320735082.0,5.5226664e+11,-0.0532297693472
sz399001,2015-07-01,14185.1,13650.82,13578.38,14696.98,348742096.0,6.9116266e+11,-0.0479245304074
sz399001,2015-06-30,13274.64,14337.96,12723.16,14352.05,399540089.0,7.2137901e+11,0.0568829899449
sz399001,2015-06-29,14703.97,13566.27,13250.35,14712.16,358946932.0,6.3119331e+11,-0.0578187472697
sz399001,2015-06-26,15196.56,14398.79,14321.05,15229.0,294665860.0,5.5513798e+11,-0.0824377853285
sz399001,2015-06-25,16370.0,15692.44,15499.22,16399.34,331715691.0,6.8455716e+11,-0.0380001360935
